student_id,age,gender,study_hours_per_day,smartphone_usage_hours,social_media_hours,gaming_hours,streaming_hours,sleep_hours,class_attendance_percent,assignment_completion_percent,mental_health_status,final_exam_score,digital_distraction_time
1,21,Female,3.01,0.26,1.77,0.26,1.71,5.32,64.87,74.11,Good,82.7,4.0
2,23,Female,5.84,8.02,3.3,0.96,0.0,5.99,85.38,80.68,Average,85.65,12.28
3,20,Female,7.8,10.13,0.0,2.23,2.54,6.36,76.15,79.69,Good,88.14,14.9
4,20,Female,0.0,1.15,1.32,4.19,0.27,7.86,84.41,79.07,Average,54.81,6.9300000000000015
5,24,Male,7.23,1.39,2.21,4.67,2.75,7.88,81.13,65.4,Good,84.34,11.02
6,24,Female,1.51,7.45,2.61,4.38,2.17,4.52,77.33,47.3,Good,20.9,16.61
7,24,Female,4.38,2.57,4.43,0.59,1.65,7.37,78.37,90.83,Good,94.06,9.24
8,25,Male,4.86,7.22,4.76,0.0,3.01,5.21,90.08,93.05,Average,91.86,14.989999999999998
9,25,Male,3.8,6.8,6.82,1.98,0.0,7.41,81.29,69.13,Good,91.58,15.600000000000001
10,24,Male,4.28,5.3,2.37,2.99,4.17,5.74,91.73,89.53,Average,97.71,14.830000000000002
11,23,Female,4.59,4.76,1.69,3.52,1.54,8.06,78.4,99.15,Average,97.18,11.51
12,21,Female,5.36,5.67,4.57,3.42,3.42,7.95,75.67,88.77,Average,92.1,17.08
13,17,Female,2.88,5.3,0.0,1.34,2.88,5.11,66.15,83.4,Good,62.0,9.52
14,24,Male,2.66,7.93,3.77,2.71,1.55,5.1,91.61,69.32,Average,65.04,15.96
15,17,Female,3.09,4.35,5.66,2.84,1.58,5.49,94.33,91.72,Good,80.84,14.43
16,24,Male,4.69,1.77,3.32,1.01,1.88,8.25,91.01,92.99,Good,100.0,7.98
17,23,Male,6.3,3.2,8.33,2.93,2.66,5.11,94.24,95.22,Average,100.0,17.12
